country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-11-2025 18:00:00",27.103358,93.679645,PM2.5,10,328,73
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-11-2025 18:00:00",27.103358,93.679645,OZONE,4,8,7
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","11-11-2025 18:00:00",16.5150833,80.5181667,PM10,110,236,140
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","11-11-2025 18:00:00",14.675886,77.593027,NH3,4,5,5
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","11-11-2025 18:00:00",13.204880,79.097889,PM2.5,75,227,132
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","11-11-2025 18:00:00",13.204880,79.097889,PM10,72,140,106
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","11-11-2025 18:00:00",13.204880,79.097889,OZONE,52,59,55
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","11-11-2025 18:00:00",24.792403,84.992416,PM10,159,250,186
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","11-11-2025 18:00:00",24.792403,84.992416,CO,28,41,29
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-11-2025 18:00:00",25.697189,85.245900,PM2.5,91,270,186
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","11-11-2025 18:00:00",25.697189,85.245900,CO,20,70,36
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-11-2025 18:00:00",21.258815,81.578979,PM10,41,175,114
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-11-2025 18:00:00",21.258815,81.578979,NH3,4,5,4
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-11-2025 18:00:00",21.258815,81.578979,CO,34,94,47
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","11-11-2025 18:00:00",21.219665,81.630094,PM10,40,138,102
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","11-11-2025 18:00:00",21.237755,81.705301,OZONE,2,5,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","11-11-2025 18:00:00",21.371751,81.664929,PM10,39,163,107
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","11-11-2025 18:00:00",21.371751,81.664929,NH3,3,3,3
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-11-2025 18:00:00",25.599486,85.113666,SO2,6,8,7
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-11-2025 18:00:00",25.366336,87.117468,PM10,59,117,97
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-11-2025 18:00:00",25.366336,87.117468,NO2,5,7,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","11-11-2025 18:00:00",25.366336,87.117468,NH3,3,3,3
